Entry_Date,Entry_Price,Exit_Date,Exit_Price,Type,USD_Amount,Profit,Profit_Pct,Holding_Days,Capital_Before,Capital_After
2022-04-14,76.32949829101562,2022-05-05,76.57260131835938,LONG (Signal),1360.7569901124361,330.80414377550187,0.3184915829223576,21,103865.89835127477,104196.70249505027
2022-05-05,76.57260131835938,2022-05-06,77.06929779052734,SHORT (Signal),1360.7569901124361,-675.8831964667505,-0.6486608311801974,1,104196.70249505027,103520.81929858352
2022-05-06,77.06929779052734,2022-05-30,77.82949829101562,LONG (Signal),1343.2173675690003,1021.1145150905068,0.9863856584686813,24,103520.8192985835,104541.93381367401
2022-05-30,77.82949829101562,2022-06-01,77.94170379638672,SHORT (Signal),1343.2173675690003,-150.71638355130986,-0.14416835240481868,2,104541.93381367401,104391.2174301227
2022-06-01,77.94170379638672,2022-06-03,77.6864013671875,LONG (Signal),1339.349954458683,-341.93929692116217,-0.32755561754996215,2,104391.2174301227,104049.27813320154
2022-06-03,77.6864013671875,2022-06-07,78.05979919433594,SHORT (Signal),1339.349954458683,-500.11036278623095,-0.48064760444181165,4,104049.27813320154,103549.16777041531
2022-06-07,78.05979919433594,2022-07-29,79.65650177001953,LONG (Signal),1326.536435388741,2118.0841431233275,2.045486399098302,52,103549.16777041531,105667.25191353864
2022-07-29,79.65650177001953,2022-08-12,79.93699645996094,SHORT (Signal),1326.536435388741,-372.0864261403432,-0.3521303141722658,14,105667.25191353864,105295.16548739829
2022-08-12,79.93699645996094,2022-09-05,80.02549743652344,LONG (Signal),1317.226943098104,116.57587081861857,0.11071341241452376,24,105295.1654873983,105411.74135821692
2022-09-05,80.02549743652344,2022-09-20,79.99250030517578,SHORT (Signal),1317.226943098104,43.46471045607986,0.04123327240024932,15,105411.74135821692,105455.20606867301
2022-09-20,79.99250030517578,2022-10-28,82.78130340576172,LONG (Signal),1318.3136627353265,3676.5172301810817,3.486330705936806,38,105455.20606867301,109131.72329885409
2022-10-28,82.78130340576172,2022-11-03,82.99629974365234,SHORT (Signal),1318.3136627353265,-283.4326096792717,-0.25971605790838626,6,109131.72329885409,108848.29068917483
2022-11-03,82.99629974365234,2022-11-07,82.3718032836914,LONG (Signal),1311.4836568060334,-819.0169009719975,-0.7524389182286446,4,108848.29068917483,108029.27378820283
2022-11-07,82.3718032836914,2022-11-24,81.87000274658203,SHORT (Signal),1311.4836568060334,658.1032033954348,0.6091896949022182,17,108029.27378820283,108687.37699159827
2022-11-24,81.87000274658203,2022-12-02,81.61499786376953,LONG (Signal),1327.5604414968195,-338.5343948104128,-0.3114753563668963,8,108687.37699159827,108348.84259678786
2022-12-02,81.61499786376953,2022-12-06,82.6001968383789,SHORT (Signal),1327.5604414968195,-1307.9111856946358,-1.2071298173086442,4,108348.84259678786,107040.93141109322
2022-12-06,82.6001968383789,2022-12-30,82.8364028930664,LONG (Signal),1295.8919652520526,306.09752841341833,0.285963065136124,24,107040.93141109322,107347.02893950664
2022-12-30,82.8364028930664,2023-01-31,82.05909729003906,SHORT (Signal),1295.8919652520526,1007.3040855085363,0.9383623333219434,32,107347.02893950664,108354.33302501518
2023-01-31,82.05909729003906,2023-03-02,82.65779876708984,LONG (Signal),1320.442663925917,790.5509732533101,0.7295979322495575,30,108354.33302501518,109144.88399826849
2023-03-02,82.65779876708984,2023-03-16,82.99199676513672,SHORT (Signal),1320.442663925917,-441.28929481972403,-0.40431514392074,14,109144.88399826849,108703.59470344876
