symbol,isin,name,face_value,coupon_rate,coupon_frequency,maturity_date,close_price,description
763HP37,IN1720220152,STATE DEVELOPMENT LOAN 32405 HP 14DC37,100,0.07629999999999999,2,2037-12-14,-,STATE DEVELOPMENT LOAN 32405 HP 14DC37 7.63 FV RS 100
713PN50,IN2820250073,STATE DEVELOPMENT LOAN 36075 PJB 11JU50,100,0.0713,2,2050-06-11,-,STATE DEVELOPMENT LOAN 36075 PJB 11JU50 7.13 FV RS 100
736MH28,IN2220230014,STATE DEVELOPMENT LOAN 32838 MH 12AP28,100,0.0736,2,2028-04-12,100.5,STATE DEVELOPMENT LOAN 32838 MH 12AP28 7.36 FV RS 100
675GS2029,IN0020240183,GOVERNMENT OF INDIA 35368 GOI 23DC29,100,0.0675,2,2029-12-23,112,GOVERNMENT OF INDIA 35368 GOI 23DC29 6.75 FV RS 100
709KL52,IN2020250071,STATE DEVELOPMENT LOAN 36121 KER 25JU52,100,0.0709,2,2052-06-25,95,STATE DEVELOPMENT LOAN 36121 KER 25JU52 7.09 FV RS 100
74GS2035,IN0020050012,GOVERNMENT OF INDIA 05002 GOI 09SP35,100,0.07400000000000001,2,2035-09-09,104.44,GOVERNMENT OF INDIA 05002 GOI 09SP35 7.40 FV RS 100
824GS2033,IN0020140052,GOVERNMENT OF INDIA 17224 GOI 10NV33,100,0.0824,2,2033-11-10,113.01,GOVERNMENT OF INDIA 17224 GOI 10NV33 8.24 FV RS 100
679GS2031,IN0020240191,GOVERNMENT OF INDIA 35396 GOI 30DC31,100,0.0679,2,2031-12-30,103.55,GOVERNMENT OF INDIA 35396 GOI 30DC31 6.79 FV RS 100
74CG30,IN3520230027,STATE DEVELOPMENT LOAN 33099 CHT 28JU30,100,0.07400000000000001,2,2030-06-28,98.95,STATE DEVELOPMENT LOAN 33099 CHT 28JU30 7.4 FV RS 100
767WB37,IN3420220185,STATE DEVELOPMENT LOAN 32431 WB 21DC37,100,0.0767,2,2037-12-21,99.9,STATE DEVELOPMENT LOAN 32431 WB 21DC37 7.67 FV RS 100
724BR33,IN1320240022,STATE DEVELOPMENT LOAN 34812 BH 21AG33,100,0.0724,2,2033-08-21,-,STATE DEVELOPMENT LOAN 34812 BH 21AG33 7.24 FV RS 100
702GS2031,IN0020240076,GOVERNMENT OF INDIA 34587 GOI 18JU31,100,0.0702,2,2031-06-18,105.9,GOVERNMENT OF INDIA 34587 GOI 18JU31 7.02 FV RS 100
