"Maturity","Forecast_Generation_Date","Prediction_Day","Target_Date","Predicted_Yield","Predicted_Return","time","diff"
"7","2025-12-03T00:00:00.000000000","8","12-15-2025","6.601215956368701","0.001556889883380928","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","14","12-23-2025","6.659212197221629","0.0013913464384503367","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","11","12-18-2025","5.732429946946773","-0.00017988026590263313","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","14","12-23-2025","5.63177673389369","0.0005447170320297149","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","15","12-24-2025","5.728596836391859","-0.00015990158006938646","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","9","12-16-2025","6.5377629709884015","-1.8454576161127268e-5","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","8","12-15-2025","5.611018867166203","0.0005747140461370946","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","8","12-15-2025","6.131215916319196","-0.0007094178612714181","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","20","12-31-2025","6.5367179104591","-1.1640024904385673e-5","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","17","12-26-2025","6.536956253059333","-1.3226197828189457e-5","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","6","12-11-2025","5.737904291983188","-0.00020774651161297936","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","11","12-18-2025","6.630965657242214","0.0014719977555416762","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","9","12-16-2025","5.734523641353432","-0.00019083019670928071","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","16","12-25-2025","6.67723922153789","0.001339868366565611","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","4","12-09-2025","6.161426477200038","-0.0025026598056771695","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","11","12-18-2025","5.622169019661216","0.0005918496433887201","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","11","12-18-2025","6.537534836036164","-1.7091779472442215e-5","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","19","12-30-2025","6.703119596215078","0.0012659555355214744","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","19","12-30-2025","6.536793998904042","-1.2146399777154294e-5","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","10","12-17-2025","5.618843509134078","0.0006716212772224801","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","9","12-16-2025","6.129731169612959","-0.00024216186911391524","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","17","12-26-2025","6.686018432982159","0.001314796602756167","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","1","12-04-2025","6.536420917420677","0.00037051077757542647","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","2","12-05-2025","6.536948796905273","0.002044925994504385","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","5","12-10-2025","5.739096569275265","-0.0002209579662163924","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","21","01-01-2026","6.536644994888574","-1.1154767809177114e-5","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","21","01-01-2026","6.719626003823603","0.001218808849914221","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","9","12-16-2025","5.615072307099488","0.0007224071116574225","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","1","12-04-2025","6.52360850030503","0.0016288193313418434","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","18","12-29-2025","6.19183272136617","0.0017967834007692055","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","6","12-11-2025","6.538152693841885","-1.7610518707866958e-5","1765107142794","1"
